,highschool,URM,satact,GPA,essayrating,ecrating,lor,faaltu,edaccept,Did you get into your ED/REA college?,acceptance,attending,Add. Info/Context 
0,"Not a feeder, Private school",Yes,Test Optional,3.8+,10,9,3,Yes (vibe check),barnard college of columbia university ED,Yes,just my ed school ,my ed school!,
1,"Not a feeder, Public school",No,Test Optional,3.8+,6,8,3,,"ED - Wellesley, ED2 - Vassar",No,"Swarthmore College, Duke Kunshan University",Swarthmore College,"I got waitlisted at Penn, but unless I get off the waitlist, I’ll be a swattie this fall"
2,"Not a feeder, Private school",No,Test Optional,3.8+,8,7,3,,Cornell,No,"Syracuse University
University of Texas at Dallas ",Syracuse University ,Got a full tuition scholarship
3,"Not a feeder, Public school",Yes,Test Optional,3.8+,8,8,5,Yes (vibe check),Northwestern University,Yes,Northwestern University,Northwestern University,
4,"Not a feeder, Public school",Yes,Test Optional,3.8+,9,7,4,Yes (vibe check),Macalester edI and Hamilton edII,Yes,Hamilton yayyyy,Hamilton 😋😋👍,$50 family contribution lolll
5,"Not a feeder, Private school",No,Test Optional,3.4-3.8,6,8,4,Yes (vibe check),Davidson College,No,"Juniata, Roanoke.",Juniata (committed) ,Got full tuition via next genius scholarship. 
6,"Not a feeder, Private school",Yes,Test Optional,3.8+,8,8,4,Yes (vibe check),Vanderbilt,No,Trinity college Hartford,Trinity college Hartford,
7,"Not a feeder, Private school",No,1400+/32+,3.4-3.8,8,8,4,,Ed-2 Smith,No,"St.johns
Caldwell University ",Caldwell University ,
8,"Not a feeder, Private school",No,Test Optional,3.0-3.4,6,7,3,Yes (vibe check),"ED1: Skidmore, ED2: Bennington/Bucknell",No,"Saint Louis Univ at Madrid
Eastern Michigan Univ",,"FGLI, Super poor very bad grades tho"
9,"Not a feeder, Private school",No,1300+/29+,3.4-3.8,8,7,4,Yes (vibe check),,No,"Ut Arlington, etc.",University of Texas-Arlington,
10,"Not a feeder, Private school",No,Test Optional,3.8+,9,9,3,,Northwestern ED1 and WashU ED2,Yes,"WashU, Umass, UWash (withdrew all other selective unis as i got in ED)",WashU,Received $220k in fin aid
11,"Not a feeder, Public school",Yes,1400+/32+,3.8+,6,6,3,Yes (vibe check),Case western ,No,SUNY Stony Brook and Towson University ,No,
